Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
1/24/24,K233195,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",Canon Medical Systems Corporation,Radiology,IYN
1/19/24,K232156,Rapid ASPECTS (v3),"iSchemaView, Inc.",Radiology,POK
1/19/24,K233728,SIGNA Champion,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
1/18/24,K232698,NemoScan,Software Nemotec S.L.,Radiology,QIH
1/17/24,K231871,Radify Triage,Envisionit DeepAI Ltd,Radiology,QFM
1/16/24,K233512,Rapid (6.0),"iSchemaView, Inc.",Radiology,QIH
1/13/24,K233216,CLEWICU System,Clew Medical Ltd.,Cardiovascular,QNL
1/12/24,DEN230008,DermaSensor,DermaSensor Inc.,General and Plastic Surgery,QZS
1/12/24,K233677,Biograph VK10,"Siemens Medical Solutions USA, Inc.",Radiology,KPS
1/12/24,DEN220040,Fibresolve,"Imvaria, Inc",Radiology,QWO
1/12/24,K233964,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
1/11/24,K232250,SurgiCount+ System,Stryker Instruments,General Hospital,PBZ
1/11/24,DEN220066,BrainSee,"Darmiyan, Inc.",Neurology,QWT
1/8/24,K232412,LungQ v3.0.0,Thirona BV,Radiology,JAK
1/8/24,K231324,DASI Dimensions (V1.0),DASI Simulations,Radiology,QIH
1/7/24,K231068,autoSCORE,Holberg EEG AS,Neurology,OMB
1/5/24,K231917,VEA Align,EOS imaging,Radiology,QIH
1/4/24,K232808,Butterfly iQ3 Ultrasound System,"Butterfly Network, Inc.",Radiology,IYN
1/3/24,K231779,REMI AI Discrete Detection Module,"Epitel, Inc.",Neurology,OMB
12/26/23,K231130,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH
12/22/23,K231805,qXR-LN,Qure.ai Technologies,Radiology,MYN
12/22/23,K232535,MAGNETOM Sola; MAGNETOM Altea,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
12/22/23,K232479,ART-Plan,TheraPanacea,Radiology,MUJ
12/21/23,K233112,HM70 EVO Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
12/20/23,K230850,United Orthopedic Knee Patient Specific Instrumentation,"Enhatch, Inc.",Orthopedic,OOG
12/20/23,K233176,uOmnispace.MI,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LLZ
12/18/23,K231929,iQ-solutions,Sydney Neuroimaging Analysis Centre Pty Ltd,Radiology,QIH
12/18/23,K231587,MAGNETOM Cima.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
12/15/23,K232384,Videa Dental Assist,"VideaHealth, Inc.",Radiology,MYN
12/15/23,K230751,EW10-EC02 Endoscopy Support Program,FUJIFILM Corporation,Gastroenterology-Urology,QNP
12/14/23,K231570,StrokeViewer Perfusion,NICo-Lab B.V.,Radiology,LLZ
12/13/23,K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,PHZ
12/13/23,K232231,QP-Brain®,Quibim S.L.,Radiology,QIH
12/12/23,DEN230027,NaviCam ProScan,"	
Ankon Technologies co., ltd",Gastroenterology-Urology,QZF
12/11/23,K232096,Transpara Density 1.0.0,Screenpoint Medical B.V.,Radiology,QIH
